project,log_name,analysis_file,analysis_link,run_type,target,users,uses_table_from_file,population_nodes,uses_dummy_tables_flag,nextgen_tomw2_exit_code,nextgen_tomw2_overall_sec,nextgen_tomw3_exit_code,nextgen_tomw3_overall_sec,legacy_exit_code,legacy_overall_sec,nextgen_exit_code,nextgen_overall_sec,nextgen_old_exit_code,nextgen_old_overall_sec,legacy_batch0_found,legacy_batch0_raw_sec,legacy_batch0_populate_sec,legacy_batch0_engine_sec,legacy_batch0_accumulate_sec,legacy_batch0_total_sec,legacy_batch0_dps,nextgen_batch_improvement,found_diff_pct,tomw_improvements_batch0,tomw_improvements_batch1,tomw2_found_improvement,tomw3_improvements_batch0,tomw3_improvements_batch1,nextgen_batch0_found,nextgen_batch0_raw_sec,nextgen_batch0_populate_sec,nextgen_batch0_engine_sec,nextgen_batch0_accumulate_sec,nextgen_batch0_total_sec,nextgen_batch0_dps,nextgen_batch1_found,nextgen_batch1_raw_sec,nextgen_batch1_populate_sec,nextgen_batch1_engine_sec,nextgen_batch1_accumulate_sec,nextgen_batch1_total_sec,nextgen_batch1_dps,nextgen_tomw2_batch0_found,nextgen_tomw2_batch0_raw_sec,nextgen_tomw2_batch0_populate_sec,nextgen_tomw2_batch0_engine_sec,nextgen_tomw2_batch0_accumulate_sec,nextgen_tomw2_batch0_total_sec,nextgen_tomw2_batch0_dps,nextgen_tomw2_batch1_found,nextgen_tomw2_batch1_raw_sec,nextgen_tomw2_batch1_populate_sec,nextgen_tomw2_batch1_engine_sec,nextgen_tomw2_batch1_accumulate_sec,nextgen_tomw2_batch1_total_sec,nextgen_tomw2_batch1_dps,nextgen_tomw3_batch0_found,nextgen_tomw3_batch0_raw_sec,nextgen_tomw3_batch0_populate_sec,nextgen_tomw3_batch0_engine_sec,nextgen_tomw3_batch0_accumulate_sec,nextgen_tomw3_batch0_total_sec,nextgen_tomw3_batch0_dps,nextgen_tomw3_batch1_found,nextgen_tomw3_batch1_raw_sec,nextgen_tomw3_batch1_populate_sec,nextgen_tomw3_batch1_engine_sec,nextgen_tomw3_batch1_accumulate_sec,nextgen_tomw3_batch1_total_sec,nextgen_tomw3_batch1_dps,nextgen_old_batch0_found,nextgen_old_batch0_raw_sec,nextgen_old_batch0_populate_sec,nextgen_old_batch0_engine_sec,nextgen_old_batch0_accumulate_sec,nextgen_old_batch0_total_sec,nextgen_old_batch0_dps,nextgen_old_batch1_found,nextgen_old_batch1_raw_sec,nextgen_old_batch1_populate_sec,nextgen_old_batch1_engine_sec,nextgen_old_batch1_accumulate_sec,nextgen_old_batch1_total_sec,nextgen_old_batch1_dps
research-template,generate_dataset.log,analysis/dataset_definition.py,https://github.com/opensafely/research-template/blob/fb526f10f6d461c9b4bae87c365fc5a516901f50/analysis/dataset_definition.py,dataset,10,Seb Bacon,False,15,False,0,1.27,0,1.18,0,0.47,0,3.12,0,1.73,4764,0.11,0.02,2.38,0.34,0.47,10193.79,0.65,0.0,45.5,31.16,-0.02,-25.96,-0.04,4764,0.23,0.02,1.91,0.4,2.55,1866.61,4795,0.2,0.01,1.43,0.41,2.05,2334.29,4762,0.23,0.02,3.1,0.39,3.73,1276.22,4794,0.21,0.01,1.91,0.4,2.53,1893.79,4761,0.22,0.01,2.62,0.36,3.21,1481.01,4793,0.2,0.01,1.67,0.37,2.24,2136.0,4764,0.21,0.03,3.81,0.63,4.68,1017.38,4794,0.2,0.03,2.15,0.61,2.98,1606.63
mainroute_cancer,measures_demo.log,analysis/measures_demo.py,https://github.com/opensafely/mainroute_cancer/blob/750f9804609c613eff525a31b356582960078508/analysis/measures_demo.py,measure,670,emmazmi,False,,False,0,3.06,0,2.75,0,0.93,0,6.97,0,6.77,2409,0.41,0.09,2.62,0.43,0.93,2596.13,-0.06,-36.64,39.46,-47.19,0.06,5.9,-69.8,1663,0.88,0.09,2.86,0.89,4.72,352.51,1662,0.67,0.05,5.72,0.68,7.12,233.5,1674,0.83,0.08,1.43,0.87,3.2,523.28,1663,0.63,0.04,3.58,0.58,4.83,344.61,525,0.78,0.07,2.86,0.73,4.44,118.26,502,0.61,0.04,4.29,0.49,5.42,92.54,1659,1.67,0.11,3.58,2.43,7.79,212.91,1624,0.88,0.13,2.38,1.44,4.84,335.82
mainroute_cancer,generate_dataset_table.log,analysis/define_static_dataset.py,https://github.com/opensafely/mainroute_cancer/blob/750f9804609c613eff525a31b356582960078508/analysis/define_static_dataset.py,dataset,10,emmazmi,False,31,False,0,3.5,0,2.96,0,1.2,0,8.01,0,7.27,2583,0.44,0.11,3.34,0.65,1.2,2156.34,0.28,-35.3,29.61,12.14,-1.27,3.58,-72.26,1808,0.92,0.1,2.86,1.1,4.98,362.94,1813,0.69,0.05,3.58,0.73,5.05,359.16,1805,0.88,0.09,3.81,1.06,5.84,309.08,1790,0.67,0.05,3.81,0.71,5.25,341.24,523,0.84,0.08,3.1,0.78,4.8,108.89,503,0.63,0.05,4.05,0.53,5.26,95.63,1830,1.68,0.11,2.62,2.66,7.08,258.58,1814,0.94,0.08,3.1,1.63,5.75,315.74
mainroute_cancer,generate_dataset_fit_table.log,analysis/define_static_dataset_fit.py,https://github.com/opensafely/mainroute_cancer/blob/750f9804609c613eff525a31b356582960078508/analysis/define_static_dataset_fit.py,dataset,10,emmazmi,False,31,False,0,3.41,0,3.04,0,1.22,0,7.77,0,7.28,2583,0.43,0.12,2.86,0.67,1.22,2123.62,0.28,-35.3,48.0,16.15,-1.27,-28.21,-72.26,1808,0.88,0.1,1.91,1.07,3.96,456.59,1813,0.66,0.05,3.34,0.72,4.78,379.66,1805,0.87,0.11,2.38,1.0,4.36,413.7,1790,0.65,0.05,2.62,0.69,4.01,446.74,523,0.82,0.08,3.34,0.83,5.08,103.01,503,0.65,0.05,3.34,0.55,4.59,109.57,1830,1.75,0.13,3.1,2.64,7.62,240.3,1814,0.93,0.07,3.1,1.59,5.7,318.52
mainroute_cancer,measures_demo_imd.log,analysis/measures_demo_imd.py,https://github.com/opensafely/mainroute_cancer/blob/750f9804609c613eff525a31b356582960078508/analysis/measures_demo_imd.py,measure,670,emmazmi,False,,False,0,3.05,0,2.76,0,0.96,0,7.22,0,6.87,2401,0.42,0.1,2.15,0.44,0.96,2495.04,-0.42,-36.9,39.4,25.55,0.36,5.21,-70.05,1653,0.81,0.09,2.86,0.94,4.7,351.49,1646,0.69,0.04,2.86,0.64,4.23,389.04,1663,0.79,0.08,2.62,0.89,4.38,379.71,1652,0.62,0.04,3.81,0.58,5.06,326.69,515,0.77,0.07,2.86,0.75,4.46,115.53,493,0.6,0.04,2.38,0.49,3.51,140.55,1640,1.64,0.11,3.58,2.44,7.76,211.33,1606,0.9,0.14,3.1,1.54,5.68,282.6
mainroute_cancer,generate_referral_test.log,analysis/referral_test.py,https://github.com/opensafely/mainroute_cancer/blob/750f9804609c613eff525a31b356582960078508/analysis/referral_test.py,dataset,10,emmazmi,False,29,False,0,4.26,0,2.6,0,1.0,0,6.68,0,5.68,129,0.31,0.1,3.81,0.6,1.0,128.75,30.56,-56.72,13.93,21.0,112.77,26.92,5.32,72,0.65,0.1,3.58,0.78,5.11,14.08,94,0.5,0.14,2.15,0.7,3.48,26.98,70,0.64,0.08,3.58,0.69,4.98,14.06,200,1.13,0.27,2.86,1.41,5.67,35.27,73,0.61,0.08,2.38,0.66,3.74,19.54,99,0.46,0.12,3.1,0.62,4.3,23.0,74,1.31,0.1,2.86,1.67,5.94,12.46,89,0.86,0.08,1.91,1.56,4.41,20.18
tocilizumab_and_sarilumab,generate_dataset.log,analysis/dataset_definition.py,https://github.com/opensafely/tocilizumab_and_sarilumab/blob/20887d4c3da7e6737ef9c12b7c45f786e1dd615c/analysis/dataset_definition.py,dataset,10000,lshbz1,False,26,False,0,9.35,0,17.24,0,1.13,0,13.73,0,14.75,79,0.43,0.11,2.62,0.6,1.13,70.04,57.14,-95.33,43.84,42.09,513.64,-143.59,0.0,28,1.82,0.04,2.86,1.73,6.45,4.34,44,1.28,0.06,2.86,1.18,5.38,8.18,33,1.71,0.04,3.34,1.79,6.88,4.8,270,1.79,0.38,5.01,3.56,10.73,25.17,32,1.56,0.04,3.34,10.79,15.72,2.04,44,1.14,0.05,1.91,3.36,6.46,6.81,45,3.85,0.08,3.34,4.22,11.49,3.92,57,1.99,0.26,2.86,4.18,9.29,6.14
OpenPregnosis,generate_livebirth_data.log,analysis/03a_livebirth_dataset_definition.py,https://github.com/opensafely/OpenPregnosis/blob/76747c7e974cce5af80a5b80d96403295c5707aa/analysis/03a_livebirth_dataset_definition.py,dataset,2000,Paolo Mazzone,False,21,False,0,3.45,0,1.89,0,0.67,0,4.27,0,3.28,254,0.29,0.05,2.86,0.34,0.67,377.13,17.72,57.1,-97.8,14.14,69.7,54.14,-0.37,457,0.68,0.03,5.96,0.26,6.94,65.87,538,0.52,0.04,2.62,0.24,3.43,156.94,458,0.68,0.06,1.19,0.19,2.12,216.03,913,1.11,0.25,4.05,1.14,6.55,139.48,456,0.74,0.09,2.15,0.21,3.18,143.32,536,0.54,0.04,2.15,0.23,2.96,181.02,445,1.45,0.04,1.67,0.35,3.51,126.87,571,0.87,0.07,2.62,0.43,3.99,143.01
OpenPregnosis,generate_early_markers_data.log,analysis/03d_pregnancy_start_dataset_definition.py,https://github.com/opensafely/OpenPregnosis/blob/76747c7e974cce5af80a5b80d96403295c5707aa/analysis/03d_pregnancy_start_dataset_definition.py,dataset,2000,Paolo Mazzone,False,21,False,0,3.3,0,1.72,0,0.68,0,4.26,0,3.31,257,0.3,0.08,2.86,0.3,0.68,378.33,17.76,55.82,11.3,-36.48,70.58,27.42,-0.56,456,0.68,0.03,2.62,0.27,3.61,126.41,537,0.53,0.05,3.58,0.25,4.4,122.11,456,0.65,0.07,1.91,0.2,2.82,161.82,916,1.06,0.22,2.86,1.08,5.22,175.5,455,0.7,0.06,1.67,0.19,2.62,173.8,534,0.49,0.03,2.15,0.21,2.88,185.3,440,1.5,0.04,2.15,0.38,4.07,108.19,566,0.83,0.06,1.91,0.42,3.22,175.65
OpenPregnosis,generate_indicator_data.log,analysis/03e_indicator_dataset_definition.py,https://github.com/opensafely/OpenPregnosis/blob/76747c7e974cce5af80a5b80d96403295c5707aa/analysis/03e_indicator_dataset_definition.py,dataset,2000,Paolo Mazzone,False,21,False,0,3.61,0,1.87,0,0.69,0,4.42,0,3.46,258,0.31,0.08,2.62,0.3,0.69,374.92,14.62,58.63,-5.58,-44.97,67.84,-6.52,-1.11,472,0.74,0.07,2.62,0.21,3.64,129.72,541,0.55,0.04,3.58,0.25,4.41,122.7,471,0.72,0.07,1.67,0.2,2.66,176.82,908,1.2,0.25,3.34,1.13,5.92,153.47,471,0.72,0.07,2.86,0.22,3.88,121.52,535,0.56,0.03,1.91,0.23,2.73,195.77,454,1.61,0.08,1.43,0.32,3.45,131.74,587,0.87,0.11,1.67,0.39,3.04,193.0
